multiple_concatenate_profession_key,multiple_concatenate_profession_name
1,11|15|34
2,10|30
3,13|15|20
4,1|2|20
5,20|26|37
6,21|33|4
7,38|7
8,15|20|21
9,15|36|5
10,1|24|26
11,10|13|15
12,10|9
13,15|38|39
14,10|25|3
15,21|22|23
16,27|28|36
17,15|26|33
18,22|33|39
19,29|36|5
20,22|36
21,15|22|29
22,10|15|32
23,11|22
24,21|22|39
25,2|33|36
26,29|33|4
27,10
28,20|22|34
29,26|32
30,18|20|40
31,10|2|27
32,1|27|36
33,26|36
34,18|39
35,1|10|20
36,20|32|34
37,2|7
38,21|26
39,27|29|32
40,1|20
41,26|40
42,22|32|4
43,23|25|26
44,17|21|35
45,21|22
46,15|18|2
47,33|39|4
48,3|5
49,21|36|38
50,21|29|30
51,18|21|32
52,26|38
53,22|4|40
54,4|5
55,22|40
56,21|32|39
57,13|20|5
58,2|26|39
59,13|14|22
60,20|39|8
61,15|20|32
62,15|33
63,13|14|35
64,13|14|17
65,10|11|20
66,20|25|26
67,2|23|36
68,15|2|33
69,10|30|8
70,6
71,10|20|8
72,20|30|32
73,26|36|38
74,2|27|36
75,21|25|29
76,28|30|7
77,21|27|33
78,20|23|32
79,20|28|8
80,22|36|40
81,18|26
82,29|36|4
83,16|19|21
84,21|33|36
85,13|37|8
86,2|27|32
87,18|38|40
88,20|21|6
89,10|20|23
90,19|21|22
91,18|19|21
92,25|5
93,26|29|34
94,20|37|8
95,20|23|38
96,15|29|4
97,10|38|5
98,10|11|38
99,2|20|7
100,19|2|21
101,2|29|36
102,11|16|37
103,18|30
104,21|37|8
105,15|18|32
106,20
107,32|38|40
108,29|32|33
109,28|36|38
110,16
111,34|38|8
112,20|26|36
113,15|2|4
114,10|25|30
115,10|2|30
116,26|34|36
117,25|26|32
118,18|34|37
119,32|34
120,20|8
121,26|3|38
122,11|32|38
123,20|21|29
124,2|32|33
125,15|22|26
126,14|17
127,10|16|21
128,16|36|8
129,16|20|39
130,10|20|29
131,27|38
132,13|21|32
133,19|27|36
134,18|36|7
135,10|23|32
136,1|2|33
137,18|2
138,26|27
139,10|30|38
140,1|20|38
141,34|36
142,29|4
143,11|27|36
144,10|38
145,26|29|36
146,10|14|23
147,18|33
148,16|20|37
149,20|29|36
150,16|26|8
151,20|4
152,20|30|38
153,10|20|40
154,27|33
155,14|21|35
156,13|20|38
157,2|21|35
158,18|20|36
159,21|36|5
160,20|36|8
161,10|13|32
162,15|2|23
163,15|26
164,15|21
165,18|34|38
166,1|10|40
167,20|22|40
168,20|35
169,26|30|32
170,16|39|8
171,21|22|35
172,1|18|21
173,34|38|39
174,1|20|7
175,1|2|4
176,10|15|5
177,11|15|29
178,10|13|14
179,10|8
180,20|22|39
181,2|22|27
182,20|29|33
183,20|21|40
184,18|26|40
185,26|8
186,10|24|30
1387,41
187,2|30|4
188,15|21|7
189,3|36
190,34|38
191,10|11|23
192,18|20|5
193,18|21|33
194,20|34
195,20|23|40
196,18|26|34
197,22|36|4
198,20|26|38
199,10|28|34
200,20|21|32
201,15|23|32
202,23|33
203,18|20|22
204,20|23|5
205,22|35
206,2|20
207,10|16|2
208,3|5|8
209,21|33|40
210,13|15|4
211,29|37|8
212,25|26|30
213,21|29|34
214,18|21|23
215,21|38
216,1|18|30
217,20|26|32
218,1|10
219,20|26|27
220,10|29|38
221,16|22|36
222,21|25|26
223,15|34
224,23|38
225,29|32|8
226,20|30|4
227,26|28
228,11|20|26
229,16|21|39
230,10|11|34
231,15|38
232,26|33|36
233,21|33
234,11|29|38
235,29|8
236,20|7
237,18|26|7
238,20|22|38
239,23|29|32
240,21|34
241,15|18|26
242,33|34|4
243,10|18|38
244,2|23
245,21|26|29
246,21|5
247,19|25|39
248,11|29
249,10|21|32
250,10|15|8
251,32|4
252,20|23|36
253,2|20|39
254,13|15|26
255,26|39|40
256,26|27|28
257,1|21|36
258,13|23
259,15|26|5
260,20|37
261,22|39|40
262,28|38|8
263,22|39|8
264,11|16
265,21|29|4
266,20|22|36
267,16|38
268,2|20|30
269,28
270,15|29|32
271,25|26|3
272,15|20|40
273,21|29|5
274,20|21|8
275,21|26|7
276,19|21|26
277,32|38|7
278,2|27|4
279,30|33|7
280,21|33|35
281,15|21|26
282,15|18|30
283,29|32|36
284,1|22|7
285,16|20|36
286,21|29|38
287,1|11
288,16|20|34
289,19|22|38
290,22|26|32
291,15|23|29
292,20|4|6
293,29|3
294,10|23|5
295,10|18|25
296,20|3
297,26|33|38
298,10|27|32
299,19|21|32
300,39|7
301,2|20|29
302,26|32|34
303,14|21|27
304,11|28|38
305,20|32|38
306,11|26
307,26|35
308,10|13|21
309,13|15|36
310,1|20|32
311,10|38|8
312,18|26|37
313,1|2|26
314,19|21|35
315,3
316,21|27|29
317,11|13|15
318,10|2|23
319,21|26|33
320,10|14|21
321,10|16|18
322,20|26|40
323,2|22|26
324,11|28
325,10|2|21
326,32|33|40
327,2|21|40
328,26|3
329,1|26|7
330,2|21
331,15|20
332,20|25|39
333,16|36|39
334,18|32|39
335,2|21|4
336,21|4
337,18|22|26
338,15|33|36
339,10|15|23
340,2|20|4
341,1|21|7
342,21|29|32
343,15|21|38
344,1|2|28
345,22|29
346,20|38|4
347,18|32|37
348,2
349,20|23|28
350,18|21|5
351,18|26|29
352,32|7
353,2|4|7
354,16|22|32
355,11|28|36
356,5
357,10|32|36
358,16|20|25
359,10|16|39
360,27|36|38
361,20|26|30
362,18|23|32
363,21|26|36
364,20|23|33
365,32|34|38
366,20|25
367,22|29|4
368,34|37
369,10|16|37
370,20|26|3
371,13|14|21
372,18|27
373,10|2|8
374,21|35
375,22|34|40
376,10|4|40
377,16|20|26
378,26|30|36
379,15|20|22
380,30|5
381,16|22|39
382,26|29|30
383,10|17|21
384,10|21|35
385,10|40
386,19|38
387,30|34|38
388,18|21|7
389,16|20
390,25|28|38
391,13|2|26
392,25|26|27
393,18|27|36
394,18|21|40
395,22|29|38
396,1|15|18
397,16|19|20
398,16|21|22
399,10|13
400,15|23
401,10|25|38
402,1|2|35
403,2|33|39
404,15|28|38
405,10|21|8
406,1|10|30
407,11|32
408,10|37
409,2|33|7
410,18|25|26
411,19|20|9
412,26|29|4
413,1|36
414,10|22|40
415,1|15|20
416,22|33|36
417,10|32
418,1|13|7
419,26|30|39
420,2|20|36
421,36|38
422,16|33|4
423,20|21
424,26|29|7
425,22|27|7
426,1|19|2
427,15|25|29
428,29
429,33|36
430,10|18|29
431,20|29|32
432,11|20|34
433,10|17|30
434,20|26|7
435,14
436,20|39
437,15|20|38
438,10|15|21
439,18|2|38
440,10|21|25
441,14|18|21
442,21|24|30
443,10|21|22
444,10|18|36
445,10|14|20
446,1|18|7
447,21|28|38
448,18|38
449,10|18|32
450,11|22|29
451,2|26|40
452,22|27|38
453,15|20|36
454,14|20|21
455,10|33|4
456,39|8
457,15|20|29
458,10|38|4
459,20|36|39
460,11|38
461,21|22|3
462,10|20|21
463,15|26|30
464,20|34|7
465,20|21|7
466,20|3|4
467,20|22|26
468,20|26|33
469,18|21|30
470,22|3
471,2|20|23
472,21|32|4
473,10|21|23
474,10|18|33
475,10|21|24
476,18|21|22
477,34|38|40
478,10|20|39
479,29|34|38
480,10|18|2
481,14|15|20
482,18|40
483,15|18|36
484,13|20|21
485,13
486,21|26|40
487,10|33|38
488,10|29|37
489,18|25|32
490,28|37|8
491,20|22|4
492,1|30|4
493,20|33
494,14|15|32
495,24|26|30
496,1|21|32
497,16|20|23
498,15|33|4
499,16|36|4
500,32|36
501,15|32|36
502,15|26|32
503,33|38|4
504,20|36|4
505,3|32|36
506,26
507,15|18|22
508,33|36|4
509,26|36|7
510,27|33|34
511,20|26|29
512,14|15|26
513,25|7
514,21|26|32
515,2|27|33
516,13|20|29
517,15|34|38
518,2|20|5
519,20|36
520,19
521,15|18|29
522,10|30|7
523,15|27|36
524,11|37|39
525,23|26|36
526,38|8
527,21|30|32
528,18|30|7
529,2|36|4
530,2|29
531,1
532,28|34|37
533,10|16|29
534,18|22|32
535,13|25|8
536,26|29
537,21|25|32
538,2|26|36
539,18|21|35
540,18|21|29
541,13|17|21
542,32|33
543,22|32|33
544,23|37
545,1|17|7
546,15|26|27
547,3|38|39
548,11|26|28
549,11|28|34
550,20|21|3
551,18|21|4
552,3|34|38
553,20|39|5
554,1|2|36
555,20|26|5
556,18|32|34
557,30|38
558,27|7
559,18|26|39
560,1|33|7
561,21|32|38
562,28|3|38
563,22|36|38
564,28|32|38
565,11|34|36
566,16|21|32
567,15|2|22
568,10|21|33
569,3|38
570,16|37
571,13|14
572,14|15|17
573,14|20|26
574,27|38|40
575,2|20|21
576,10|30|36
577,21|35|5
578,15|21|4
579,2|20|26
580,10|15
581,15|2|32
582,18
583,11|37|38
584,1|26|32
585,15|21|27
586,18|20|27
587,15|25
588,26|30|7
589,11|20|21
590,26|34
591,1|32|7
592,1|34|38
593,16|26|39
594,38|6
595,32|33|36
596,1|15|26
597,33|4|40
598,10|30|32
599,27|40
600,2|26|33
601,20|32|33
602,16|38|40
603,17|35|8
604,10|21|29
605,10|2|20
606,20|38|40
607,14|15|23
608,22|36|39
609,36
610,15|21|22
611,14|37|8
612,10|4
613,10|33
614,21|40
615,19|21|29
616,15|4|5
617,21|32|37
618,13|26|38
619,32|34|37
620,10|18|21
621,1|38
622,20|21|38
623,11|20|38
624,21|38|39
625,21|32|7
626,10|27|36
627,19|36
628,26|37|8
629,1|26|38
630,21|5|7
631,15|26|38
632,20|3|5
633,10|19|21
634,20|29
635,23|27|36
636,20|21|33
637,2|3|36
638,21|22|27
639,38|4|40
640,1|26
641,1|2|21
642,25|36|39
643,10|29
644,18|29|32
645,1|24|7
646,18|26|8
647,27|36|39
648,10|2|39
649,30|7
650,10|14
651,21|22|29
652,1|24|30
653,36|4
654,15|36|38
655,18|32|7
656,2|21|33
657,16|21
658,28|34
659,23|32
660,37|39|8
661,18|26|4
662,18|26|36
663,37|38|39
664,27
665,2|32|4
666,20|6
667,10|18|7
668,37|5|8
669,26|34|38
670,1|10|7
671,1|19|21
672,26|38|5
673,11|21|38
674,10|25
675,2|27|39
676,10|20|38
677,10|28|36
678,10|18|30
679,18|21|37
680,20|21|30
681,10|34|38
682,26|32|5
683,15|22|39
684,33|34|36
685,18|37|40
686,20|21|4
687,18|26|5
688,27|34|36
689,15|38|40
690,21|3|5
691,18|26|33
692,20|23
693,15|16
694,10|21|28
695,1|28
696,13|15|29
697,18|27|32
698,29|32|4
699,18|20
700,20|28|38
701,21|38|4
702,10|16|20
703,17|20|21
704,25|26|38
705,34|38|4
706,22|32|7
707,21|26|5
708,16|22
709,18|5
710,16|20|38
711,15|26|4
712,21|32|35
713,36|8
714,18|26|38
715,2|26|4
716,20|27
717,23|26|32
718,1|26|39
719,16|21|29
720,25
721,15|21|32
722,10|18
723,33|37
724,26|32|36
725,26|30|37
726,22|39
727,15|18|38
728,15|22
729,21|26|3
730,1|2|30
731,20|32|40
732,32
733,10|21
734,10|20
735,26|34|40
736,22|26
737,15|29
738,1|2|7
739,13|5
740,11|34|37
741,17|26|35
742,15|21|25
743,20|21|5
744,15|40
745,18|2|33
746,21|32|5
747,33|4|7
748,10|29|5
749,18|36
750,21|34|38
751,10|38|40
752,25|26|34
753,1|33|4
754,18|2|32
755,2|21|32
756,18|32|4
757,16|25|8
758,18|32
759,27|33|36
760,22|28|38
761,1|10|25
762,22|33|4
763,14|20
764,7
765,25|3
766,10|20|3
767,17|27|36
768,10|20|4
769,10|21|27
770,26|7
771,10|16|8
772,22|26|4
773,18|3
774,10|21|4
775,18|26|35
776,14|21|29
777,1|15|21
778,10|15|20
779,11|18|34
780,1|18|24
781,10|16|35
782,20|22|29
783,36|38|40
784,1|30
785,11|36
786,10|18|27
787,20|22|5
788,15|27
789,26|38|8
790,22|27|40
791,1|30|32
792,37
793,2|21|7
794,22|4
795,22|25|39
796,10|22
797,20|38
798,10|16|4
799,26|33|4
800,15|20|25
801,18|23|27
802,22|38|40
803,21|35|36
804,21|22|36
805,1|18
806,21|32|36
807,21|38|40
808,2|26|30
809,20|23|4
810,20|3|36
811,26|27|30
812,8
813,20|25|36
814,15|32|40
815,10|21|9
816,19|2
817,21|29|36
818,20|27|32
819,17|20
820,20|21|22
821,1|18|20
822,15|33|5
823,15|29|5
824,20|9
825,2|30|7
826,11|26|37
827,15|39
828,2|20|27
829,13|2|20
830,26|27|39
831,29|36
832,16|39
833,36|39|4
834,11|26|36
835,38|39|8
836,10|23
837,15|20|8
838,21|29|39
839,2|20|25
840,20|29|5
841,27|34|38
842,27|32
843,26|39
844,13|15|32
845,20|33|36
846,2|39|4
847,10|37|8
848,20|21|35
849,13|20|26
850,18|20|30
851,15|16|29
852,26|28|38
853,15|2|26
854,21|22|4
855,26|40|7
856,23|26
857,3|38|5
858,23
859,34|36|38
860,29|32
861,20|22
862,1|36|38
863,1|20|21
864,18|24|26
865,18|32|38
866,15|32|33
867,37|8
868,2|3|4
869,2|21|36
870,2|21|27
871,22|32|36
872,15|34|5
873,19|26|30
874,27|32|4
875,16|37|8
876,10|21|7
877,26|29|32
878,21|30
879,22|30
880,21|28|34
881,15|36
882,18|23|33
883,11|18|22
884,20|29|4
885,21|32|34
886,29|38
887,30|32|7
888,1|2
889,15|17|22
890,14|20|29
891,19|26
892,13|15
893,20|26|34
894,37|38|8
895,4
896,10|30|37
897,27|3|36
898,21|27|36
899,21|22|33
900,2|26|7
901,19|21|30
902,15|32|39
903,34
904,21|27
905,2|21|38
906,18|26|27
907,20|40
908,22|26|40
909,25|39
910,20|36|5
911,10|28|38
912,15|29|38
913,15|18|20
914,20|30|7
915,26|36|5
916,2|30
917,22|38|7
918,20|23|29
919,11|37|8
920,15|33|40
921,34|4
922,20|4|8
923,10|2|4
924,18|27|33
925,26|36|4
926,16|26|38
927,18|28|34
928,1|18|26
929,21|27|32
930,28|38|39
931,10|27
932,11|21
933,10|13|16
934,26|36|39
935,18|2|4
936,29|5
937,21|23|26
938,15|18|23
939,1|7
940,10|17
941,20|29|40
942,29|36|38
943,29|3|5
944,18|30|32
945,34|38|5
946,18|24|30
947,10|13|20
948,29|40
949,10|14|18
950,16|26|36
951,20|38|8
952,2|33
953,22|27|39
954,15|21|3
955,26|4
956,2|32|36
957,15|18
958,13|18|20
959,10|18|37
960,1|10|21
961,21|26|30
962,11
963,20|22|27
964,20|38|39
965,18|26|30
966,20|5|8
967,26|5|7
968,11|38|39
969,27|34
970,13|38
971,26|5
972,10|20|37
973,18|21|27
974,20|36|38
975,15|21|36
976,20|21|27
977,13|20
978,10|15|29
979,2|22|4
980,26|29|3
981,18|29|40
982,20|32
983,11|20|40
984,22|27|32
985,22|29|40
986,30|33|4
987,1|21|30
988,36|5
989,10|20|30
990,18|20|29
991,16|8
992,16|18|26
993,15|26|39
994,15|2|29
995,14|16|26
996,26|27|36
997,21|23
998,22|32|34
999,21|23|32
1000,10|17|35
1001,22|26|28
1002,21|36
1003,1|18|32
1004,1|36|7
1005,1|11|30
1006,2|36
1007,21|32|40
1008,1|21|26
1009,18|36|38
1010,27|36
1011,15|20|33
1012,18|20|26
1013,14|20|36
1014,27|32|33
1015,11|36|38
1016,17
1017,20|26|39
1018,1|7|8
1019,26|33|7
1020,22|34|38
1021,15|20|23
1022,11|21|29
1023,2|26|32
1024,21|36|39
1025,11|34
1026,16|26|3
1027,15|26|29
1028,22|32|40
1029,20|21|39
1030,10|18|20
1031,15|20|27
1032,27|33|4
1033,11|20|37
1034,20|23|26
1035,27|36|40
1036,15|26|36
1037,2|36|38
1038,21|29
1039,18|27|7
1040,26|27|38
1041,29|32|5
1042,28|30|38
1043,10|11|37
1044,28|34|38
1045,22|33
1046,2|21|26
1047,15|36|4
1048,14|26|32
1049,39
1050,20|21|9
1051,10|21|38
1052,32|36|40
1053,22|32|39
1054,16|21|26
1055,3|36|38
1056,21|29|33
1057,10|35
1058,10|20|36
1059,27|32|36
1060,13|14|20
1061,1|13|2
1062,21|26|38
1063,10|15|18
1064,20|25|27
1065,22|33|38
1066,21|26|4
1067,20|27|33
1068,2|22
1069,26|29|33
1070,33|38|40
1071,10|2
1072,23|36
1073,16|22|26
1074,32|33|7
1075,22|39|5
1076,14|36
1077,28|36
1078,10|19
1079,1|20|23
1080,21
1081,32|33|39
1082,1|30|7
1083,22|32|38
1084,2|36|40
1085,16|3|8
1086,18|21|38
1087,38|40
1088,18|2|21
1089,18|19|26
1090,22|26|39
1091,10|16|32
1092,1|10|2
1093,2|38
1094,11|18|20
1095,11|37
1096,19|2|20
1097,16|32|39
1098,26|32|40
1099,2|4
1100,18|4
1101,26|32|4
1102,15
1103,10|18|23
1104,25|36
1105,20|21|36
1106,21|22|38
1107,10|14|30
1108,20|21|26
1109,10|20|5
1110,16|19|29
1111,33|34|38
1112,11|26|38
1113,2|40
1114,10|16|5
1115,11|23|36
1116,11|2
1117,13|14|19
1118,22|3|36
1119,15|2|20
1120,20|26|4
1121,16|2
1122,15|20|4
1123,20|34|5
1124,26|3|36
1125,15|5
1126,11|22|40
1127,20|5
1128,15|18|8
1129,21|25|36
1130,18|32|5
1131,26|32|38
1132,15|21|29
1133,10|15|37
1134,19|21
1135,14|15|21
1136,21|26|34
1137,26|30
1138,15|19
1139,11|20|4
1140,20|26
1141,19|3|36
1142,18|32|33
1143,10|20|25
1144,15|22|4
1145,38|4|5
1146,2|26|27
1147,18|20|38
1148,16|26|32
1149,10|13|4
1150,16|20|8
1151,18|32|40
1152,15|27|32
1153,30
1154,22
1155,10|32|7
1156,18|28|38
1157,18|33|36
1158,11|21|27
1159,20|27|29
1160,25|26|5
1161,40
1162,10|11
1163,10|15|36
1164,18|23
1165,16|20|32
1166,11|26|30
1167,29|32|40
1168,19|20
1169,1|26|30
1170,15|32|38
1171,11|38|8
1172,1|19|20
1173,38|39
1174,36|38|39
1175,13|18|26
1176,18|22
1177,18|34
1178,23|33|4
1179,13|21|29
1180,25|26|36
1181,1|13|14
1182,2|3
1183,38|4
1184,33|4
1185,21|22|26
1186,27|32|39
1187,11|34|40
1188,27|39
1189,18|21
1190,21|22|32
1191,14|21|26
1192,10|15|25
1193,25|26|4
1194,10|16|30
1195,18|26|32
1196,36|7
1197,18|23|26
1198,1|21
1199,1|20|30
1200,10|7
1201,11|21|26
1202,1|4|7
1203,15|25|32
1204,21|26|35
1205,26|27|7
1206,10|29|32
1207,16|18|32
1208,36|37|8
1209,28|37|38
1210,18|21|36
1211,11|20|32
1212,1|2|23
1213,21|30|7
1214,2|21|29
1215,22|38|4
1216,18|21|25
1217,10|20|32
1218,18|2|20
1219,13|14|32
1220,15|18|33
1221,20|22|25
1222,11|21|34
1223,24|30|7
1224,38
1225,15|21|34
1226,1|21|4
1227,17|26
1228,15|21|33
1229,18|20|32
1230,34|39
1231,15|20|26
1232,13|21|26
1233,22|26|36
1234,10|21|34
1235,18|23|29
1236,20|32|36
1237,10|21|30
1238,18|33|4
1239,28|38
1240,1|38|7
1241,20|27|36
1242,15|23|26
1243,15|22|40
1244,10|32|33
1245,1|10|18
1246,11|34|38
1247,12|18|26
1248,15|32
1249,26|34|37
1250,11|21|32
1251,21|27|38
1252,10|15|4
1253,2|20|33
1254,10|18|35
1255,27|36|5
1256,21|25
1257,10|34|8
1258,13|14|26
1259,11|14|26
1260,20|26|8
1261,21|26|27
1262,15|21|5
1263,38|5|8
1264,1|26|8
1265,13|26
1266,20|38|5
1267,32|33|4
1268,1|14|26
1269,26|30|33
1270,15|3|36
1271,32|36|4
1272,20|30
1273,16|29
1274,11|28|37
1275,18|29
1276,3|33|4
1277,32|38
1278,20|22|32
1279,2|26
1280,26|38|40
1281,1|4
1282,21|32
1283,18|20|21
1284,18|20|39
1285,27|32|40
1286,18|22|40
1287,18|20|23
1288,22|38
1289,18|7
1290,21|7
1291,21|22|40
1292,29|33
1293,20|22|23
1294,10|13|5
1295,26|27|33
1296,19|20|26
1297,20|32|4
1298,11|15|26
1299,20|22|3
1300,16|38|39
1301,32|40
1302,11|38|4
1303,2|29|4
1304,26|30|8
1305,10|18|4
1306,25|26
1307,15|20|5
1308,18|19|20
1309,13|14|5
1310,19|20|21
1311,25|26|39
1312,22|40|7
1313,22|27|36
1314,2|20|38
1315,11|18|32
1316,1|20|26
1317,26|38|39
1318,10|15|28
1319,16|26|37
1320,18|22|38
1321,15|18|21
1322,11|40
1323,18|3|36
1324,18|28|32
1325,26|38|4
1326,26|33
1327,32|4|40
1328,10|36
1329,11|18|26
1330,10|34
1331,10|13|30
1332,26|32|33
1333,15|22|32
1334,22|32
1335,13|14|15
1336,10|19|30
1337,26|30|40
1338,16|5
1339,20|21|23
1340,14|26
1341,15|20|3
1342,20|33|4
1343,2|22|33
1344,18|2|26
1345,39|4
1346,15|21|23
1347,36|39
1348,26|37
1349,15|29|33
1350,15|25|26
1351,2|20|32
1352,16|26
1353,11|20
1354,10|21|36
1355,17|20|26
1356,16|2|26
1357,3|36|5
1358,21|26|8
1359,15|2
1360,11|26|32
1361,18|21|26
1362,21|32|33
1363,27|36|4
1364,26|27|32
1365,18|32|36
1366,26|29|5
1367,21|26|39
1368,21|24|26
1369,22|26|38
1370,11|38|40
1371,33
1372,22|38|39
1373,11|26|34
1374,1|33
1375,20|29|38
1376,13|21
1377,20|31
1378,15|26|7
1379,10|16
1380,17|21|32
1381,20|34|38
1382,38|39|40
1383,2|33|4
1384,13|29|5
1385,11|22|4
1386,20|29|3
